Company Name,Percent Change
3M COMPANY (XNYS:MMM),0.22%
A. O. SMITH CORPORATION (XNYS:AOS),-0.51%
ABBOTT LABORATORIES (XNYS:ABT),0.91%
ABBVIE INC. (XNYS:ABBV),0.49%
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),0.27%
"ACTIVISION BLIZZARD, INC. (XNAS:ATVI)",0.08%
ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM),-0.65%
ADOBE INC. (XNAS:ADBE),-0.05%
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",1.21%
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",0.61%
THE AES CORPORATION (XNYS:AES),0.60%
AFLAC INCORPORATED (XNYS:AFL),0.14%
"AGILENT TECHNOLOGIES, INC. (XNYS:A)",-0.56%
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",-0.54%
"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)",1.16%
"ALASKA AIR GROUP, INC. (XNYS:ALK)",1.82%
ALBEMARLE CORPORATION (XNYS:ALB),-0.77%
"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)",0.24%
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",1.95%
ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE),0.20%
ALLIANT ENERGY CORPORATION (XNAS:LNT),-0.05%
THE ALLSTATE CORPORATION (XNYS:ALL PR B),0.14%
ALPHABET INC. (XNAS:GOOGL),2.57%
ALPHABET INC. (XNAS:GOOG),2.58%
"Altria Group, Inc. (XNYS:MO)",-0.01%
"AMAZON.COM, INC. (XNAS:AMZN)",0.53%
Amcor plc (XNYS:AMCR),-0.57%
"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",-0.10%
AMEREN CORPORATION (XNYS:AEE),0.13%
AMERICAN AIRLINES GROUP INC. (XNAS:AAL),2.05%
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",0.07%
AMERICAN EXPRESS COMPANY (XNYS:AXP),-0.56%
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",1.86%
AMERICAN TOWER CORPORATION (XNYS:AMT),0.92%
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",0.91%
Amplifon SpA (XWBO:AMP),#FIELD!
AMERISOURCEBERGEN CORPORATION (XWBO:ABC),-0.33%
"AMETEK, INC. (XNYS:AME)",0.11%
AMGEN INC. (XNAS:AMGN),0.64%
AMPHENOL CORPORATION (XNYS:APH),-0.29%
"ANALOG DEVICES, INC. (XNAS:ADI)",-0.78%
"ANSYS, INC. (XNAS:ANSS)",-0.44%
Aon plc (XNYS:AON),0.03%
APA CORPORATION (XNAS:APA),1.17%
APPLE INC. (XNAS:AAPL),0.62%
"APPLIED MATERIALS, INC. (XNAS:AMAT)",-2.07%
APTIV PLC (XNYS:APTV),-1.39%
ARCH CAPITAL GROUP LTD. (XNAS:ACGL),0.28%
"ARISTA NETWORKS, INC. (XNYS:ANET)",-1.24%
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),0.73%
"ASSURANT, INC. (XNYS:AIZ)",-0.29%
AT&T INC. (XNYS:T),0.17%
ATMOS ENERGY CORPORATION (XNYS:ATO),-0.37%
"AUTODESK, INC. (XNAS:ADSK)",0.24%
"AUTOZONE, INC. (XNYS:AZO)",0.62%
"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",0.55%
AVERY DENNISON CORPORATION (XNYS:AVY),0.18%
BAKER HUGHES COMPANY (XNAS:BKR),-1.38%
BALL CORPORATION (XNYS:BALL),-0.87%
BANK OF AMERICA CORPORATION (XNYS:BAC),1.09%
"BATH & BODY WORKS, INC. (XNYS:BBWI)",-0.34%
