x,Percent Change,Company Name
1,-0.0566,THE MOSAIC COMPANY (XNYS:MOS)
2,-0.0407,FMC CORPORATION (XNYS:FMC)
3,-0.0304,MARATHON PETROLEUM CORPORATION (XNYS:MPC)
4,-0.0247,"ULTA BEAUTY, INC. (XNAS:ULTA)"
5,-0.0245,"APPLIED MATERIALS, INC. (XNAS:AMAT)"
6,-0.0237,OCCIDENTAL PETROLEUM CORPORATION (XNYS:OXY)
7,-0.0232,"CF INDUSTRIES HOLDINGS, INC. (XNYS:CF)"
8,-0.0224,COSTCO WHOLESALE CORPORATION (XNAS:COST)
9,-0.0213,Schlumberger N.V. (XNYS:SLB)
10,-0.0204,CATERPILLAR INC. (XNYS:CAT)
11,-0.0189,LENNAR CORPORATION (XNYS:LEN)
12,-0.0189,METTLER-TOLEDO INTERNATIONAL INC. (XNYS:MTD)
13,-0.0185,VALERO ENERGY CORPORATION (XNYS:VLO)
14,-0.0185,Coterra Energy Inc. (XNYS:CTRA)
15,-0.0185,"ARISTA NETWORKS, INC. (XNYS:ANET)"
16,-0.0183,BAKER HUGHES COMPANY (XNAS:BKR)
17,-0.0182,KLA Corporation (XNAS:KLAC)
18,-0.0181,"JUNIPER NETWORKS, INC. (XNYS:JNPR)"
19,-0.018,"D.R. HORTON, INC. (XNYS:DHI)"
20,-0.0179,V.F. CORPORATION (XNYS:VFC)
21,-0.017,"DIAMONDBACK ENERGY, INC. (XNAS:FANG)"
22,-0.0169,NXP Semiconductors NV (XNAS:NXPI)
23,-0.0168,"ANALOG DEVICES, INC. (XNAS:ADI)"
24,-0.0166,EXXON MOBIL CORPORATION (XNYS:XOM)
25,-0.0164,"TAKE-TWO INTERACTIVE SOFTWARE, INC. (XNAS:TTWO)"
26,-0.0157,"Best Buy Co., Inc. (XNYS:BBY)"
27,-0.0157,ON SEMICONDUCTOR CORPORATION (XNAS:ON)
28,-0.0156,RALPH LAUREN CORPORATION (XNYS:RL)
29,-0.0155,WHIRLPOOL CORPORATION (XNYS:WHR)
30,-0.0152,PHILLIPS 66 (XNYS:PSX)
31,-0.0152,"CORTEVA, INC. (XNYS:CTVA)"
32,-0.015,EQUIFAX INC. (XNYS:EFX)
33,-0.0147,EQT CORPORATION (XNYS:EQT)
34,-0.0142,GENERAL MOTORS COMPANY (XNYS:GM)
35,-0.0142,APTIV PLC (XNYS:APTV)
36,-0.0142,"DARDEN RESTAURANTS, INC. (XNYS:DRI)"
37,-0.0141,"SALESFORCE, INC. (XNYS:CRM)"
38,-0.014,EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN)
39,-0.014,AMERICAN EXPRESS COMPANY (XNYS:AXP)
40,-0.014,MOODY'S CORPORATION (XNYS:MCO)
41,-0.0138,CONOCOPHILLIPS (XNYS:COP)
42,-0.0137,ROBERT HALF INTERNATIONAL INC. (XNYS:RHI)
43,-0.0135,"NVR, Inc. (XNYS:NVR)"
44,-0.0135,"PULTEGROUP, INC. (XNYS:PHM)"
45,-0.0133,HOWMET AEROSPACE INC. (XNYS:HWM)
46,-0.0131,CDW CORPORATION (XNAS:CDW)
47,-0.0131,CHEVRON CORPORATION (XNYS:CVX)
48,-0.013,BOSTON SCIENTIFIC CORPORATION (XNYS:BSX)
49,-0.0124,INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM)
50,-0.0121,BOOKING HOLDINGS INC. (XNAS:BKNG)
51,-0.0118,EASTMAN CHEMICAL COMPANY (XNYS:EMN)
52,-0.0118,GE HealthCare Technologies Inc. (XNAS:GEHC)
53,-0.0116,DEVON ENERGY CORPORATION (XNYS:DVN)
54,-0.0116,"CAESARS ENTERTAINMENT, INC. (XNAS:CZR)"
55,-0.0115,"ETSY, INC. (XNAS:ETSY)"
56,-0.0115,ROYAL CARIBBEAN CRUISES LTD. (XNYS:RCL)
57,-0.0113,OTIS WORLDWIDE CORPORATION (XNYS:OTIS)
58,-0.0112,DEERE & COMPANY (XNYS:DE)
59,-0.0109,"MOHAWK INDUSTRIES, INC. (XNYS:MHK)"
60,-0.0109,S&P Global Inc. (XNYS:SPGI)
61,-0.0106,PIONEER NATURAL RESOURCES COMPANY (XNYS:PXD)
62,-0.0106,"CISCO SYSTEMS, INC. (XNAS:CSCO)"
